ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
20,6503.T,Mitsubishi Electric Corporation,65.1,76,42,74,👀 監視・買い検討,5850.0,119711.0,30.674845,2.8828611,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中 / バリュエーション割高注意
21,6723.T,Renesas Electronics Corporation,65.1,60,49,84,👀 監視・買い検討,2908.0,52611.0,,2.158455,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
22,6146.T,Disco Corporation,64.7,64,43,84,👀 監視・買い検討,74060.0,80304.0,63.694378,14.809476,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意
23,8113.T,Unicharm Corporation,64.7,74,43,74,👀 監視・買い検討,1065.0,18530.0,28.567598,2.3317065,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
24,4704.T,Trend Micro Incorporated,64.6,57,58,78,👀 監視・買い検討,5688.0,7433.0,24.390034,5.690407,ai_digital,政策重点銘柄（ai_digital） / 出来高急増 / バリュエーション割高注意 / 高ROE優良企業
25,1812.T,Kajima Corporation,64.0,70,43,76,👀 監視・買い検討,7085.0,33012.0,19.802118,2.479645,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
26,6367.T,"Daikin Industries,Ltd.",63.9,65,51,74,👀 監視・買い検討,19730.0,57775.0,21.097092,1.8324156,green_energy,政策重点銘柄（green_energy）
27,7741.T,HOYA Corporation,63.8,70,61,60,👀 監視・買い検討,27545.0,93124.0,45.249203,9.077523,medical,ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
28,4519.T,"Chugai Pharmaceutical Co., Ltd.",63.2,76,52,60,👀 監視・買い検討,9930.0,163419.0,37.593697,8.067177,medical,ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
29,7012.T,"Kawasaki Heavy Industries, Ltd.",62.3,64,28,90,👀 監視・買い検討,17915.0,29948.0,31.056063,3.707879,defense,政策重点銘柄（defense） / ゴールデンクロス形成中 / バリュエーション割高注意
30,5020.T,"ENEOS Holdings, Inc.",61.7,74,33,74,👀 監視・買い検討,1456.0,39165.0,83.34288,1.2287303,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中 / バリュエーション割高注意
31,9519.T,"RENOVA, Inc.",61.3,48,62,74,👀 監視・買い検討,721.0,652.0,10.61543,0.58022934,green_energy,政策重点銘柄（green_energy） / バリュエーション割安
32,6920.T,Lasertec Corporation,59.4,42,51,84,⏸️ 様子見,30640.0,27611.0,32.67988,12.175292,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中 / バリュエーション割高注意 / 高ROE優良企業
33,3769.T,"GMO Payment Gateway, Inc.",58.3,32,66,78,⏸️ 様子見,7444.0,5647.0,26.178085,5.135454,ai_digital,政策重点銘柄（ai_digital） / RSI売られすぎ圏（反発期待） / バリュエーション割高注意 / 高ROE優良企業
34,4502.T,Takeda Pharmaceutical Company Limited,58.0,69,43,60,⏸️ 様子見,5790.0,91459.0,81.96489,1.1966414,medical,ゴールデンクロス形成中 / バリュエーション割高注意
35,4307.T,"Nomura Research Institute, Ltd.",57.1,27,68,78,⏸️ 様子見,3833.0,21975.0,21.598017,4.381909,ai_digital,政策重点銘柄（ai_digital） / RSI売られすぎ圏（反発期待） / バリュエーション割高注意 / 高ROE優良企業
36,9433.T,KDDI Corporation,55.4,23,67,78,⏸️ 様子見,2616.0,99593.0,14.493074,2.0051293,ai_digital,政策重点銘柄（ai_digital）
37,9432.T,"NTT, Inc.",54.4,20,67,78,⏸️ 様子見,151.0,123204.0,12.022292,1.2975519,ai_digital,政策重点銘柄（ai_digital） / RSI売られすぎ圏（反発期待）
38,6869.T,Sysmex Corporation,53.9,41,62,60,⏸️ 様子見,1338.5,8341.0,17.889603,1.6654494,medical,特段の注目シグナルなし
39,4543.T,Terumo Corporation,52.8,41,58,60,⏸️ 様子見,1962.0,28941.0,22.171997,1.9010965,medical,特段の注目シグナルなし
40,6501.T,"Hitachi, Ltd.",52.6,36,47,74,⏸️ 様子見,4930.0,222371.0,29.497995,3.5074987,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
41,6526.T,Socionext Inc.,49.9,20,45,84,💼 保有継続,1946.5,3411.0,34.481842,2.6461394,semiconductor,政策重点銘柄（semiconductor） / RSI売られすぎ圏（反発期待） / バリュエーション割高注意
