ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,時価総額(億円),PER,PBR,政策セクター,コメント
25,3407.T,3407.T,62.9,73,36,76,👀 監視・買い検討,1740.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
26,3482.T,3482.T,62.6,76,36,72,👀 監視・買い検討,3560.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
27,7762.T,7762.T,62.6,58,36,90,👀 監視・買い検討,1727.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
28,6367.T,6367.T,62.2,73,36,74,👀 監視・買い検討,19730.0,0.0,,,green_energy,政策重点銘柄（green_energy） / 出来高急増
29,8113.T,8113.T,61.9,72,36,74,👀 監視・買い検討,1065.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
30,5714.T,5714.T,61.9,74,36,72,👀 監視・買い検討,10140.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
31,4565.T,4565.T,61.5,73,36,72,👀 監視・買い検討,897.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
32,4042.T,4042.T,61.5,73,36,72,👀 監視・買い検討,2640.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
33,7157.T,7157.T,61.5,73,36,72,👀 監視・買い検討,2091.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
34,9279.T,9279.T,61.5,73,36,72,👀 監視・買い検討,3920.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
35,1803.T,1803.T,61.2,68,36,76,👀 監視・買い検討,3452.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
36,1812.T,1812.T,61.2,68,36,76,👀 監視・買い検討,7085.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
37,6723.T,6723.T,60.8,59,36,84,👀 監視・買い検討,2908.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
38,7164.T,7164.T,60.5,74,36,68,👀 監視・買い検討,3166.0,0.0,,,finance,総合的に良好な状態
39,1662.T,1662.T,60.5,70,36,72,👀 監視・買い検討,2357.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
40,8789.T,8789.T,60.5,70,36,72,👀 監視・買い検討,148.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
41,5020.T,5020.T,60.5,68,36,74,👀 監視・買い検討,1456.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
42,9531.T,9531.T,60.5,68,36,74,👀 監視・買い検討,7575.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
43,5019.T,5019.T,60.1,69,36,72,👀 監視・買い検討,1416.5,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
44,2986.T,2986.T,60.1,69,36,72,👀 監視・買い検討,9780.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
45,3989.T,3989.T,59.8,68,36,72,⏸️ 様子見,1138.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中 / 出来高急増
46,6479.T,6479.T,59.8,50,36,90,⏸️ 様子見,3310.0,0.0,,,defense,政策重点銘柄（defense） / ゴールデンクロス形成中
47,8750.T,8750.T,59.8,72,36,68,⏸️ 様子見,1562.0,0.0,,,finance,ゴールデンクロス形成中 / 出来高急増
48,4575.T,4575.T,59.5,67,36,72,⏸️ 様子見,849.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
49,4483.T,4483.T,59.5,67,36,72,⏸️ 様子見,3960.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
50,4208.T,4208.T,59.4,65,36,74,⏸️ 様子見,2802.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
51,4519.T,4519.T,59.4,79,36,60,⏸️ 様子見,9930.0,0.0,,,medical,ゴールデンクロス形成中 / 出来高急増
52,1802.T,1802.T,59.1,62,36,76,⏸️ 様子見,4153.0,0.0,,,infrastructure,政策重点銘柄（infrastructure） / ゴールデンクロス形成中
53,8411.T,8411.T,59.1,70,36,68,⏸️ 様子見,7175.0,0.0,,,finance,ゴールデンクロス形成中
54,8306.T,8306.T,59.1,70,36,68,⏸️ 様子見,2942.0,0.0,,,finance,ゴールデンクロス形成中
55,4592.T,4592.T,59.1,66,36,72,⏸️ 様子見,2258.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
56,5253.T,5253.T,58.8,65,36,72,⏸️ 様子見,1690.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
57,4183.T,4183.T,58.8,65,36,72,⏸️ 様子見,2313.5,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
58,8591.T,8591.T,58.7,69,36,68,⏸️ 様子見,5410.0,0.0,,,finance,ゴールデンクロス形成中
59,8316.T,8316.T,58.7,69,36,68,⏸️ 様子見,5963.0,0.0,,,finance,ゴールデンクロス形成中
60,8001.T,8001.T,58.4,68,36,68,⏸️ 様子見,2192.5,0.0,,,finance,ゴールデンクロス形成中
61,8725.T,8725.T,58.0,67,36,68,⏸️ 様子見,4320.0,0.0,,,finance,ゴールデンクロス形成中
62,6030.T,6030.T,57.7,62,36,72,⏸️ 様子見,1971.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
63,5741.T,5741.T,57.3,61,36,72,⏸️ 様子見,2480.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
64,4502.T,4502.T,57.0,72,36,60,⏸️ 様子見,5790.0,0.0,,,medical,ゴールデンクロス形成中 / 出来高急増
65,4704.T,4704.T,56.6,53,36,78,⏸️ 様子見,5688.0,0.0,,,ai_digital,政策重点銘柄（ai_digital） / 出来高急増
66,7806.T,7806.T,56.3,58,36,72,⏸️ 様子見,5270.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
67,4563.T,4563.T,56.0,57,36,72,⏸️ 様子見,63.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
68,9158.T,9158.T,56.0,57,36,72,⏸️ 様子見,938.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
69,4894.T,4894.T,56.0,57,36,72,⏸️ 様子見,8320.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
70,9613.T,9613.T,55.6,50,36,78,⏸️ 様子見,3965.0,0.0,,,ai_digital,政策重点銘柄（ai_digital）
71,9984.T,9984.T,55.6,50,36,78,⏸️ 様子見,4329.0,0.0,,,ai_digital,政策重点銘柄（ai_digital）
72,4021.T,4021.T,55.2,67,36,60,⏸️ 様子見,6597.0,0.0,,,medical,ゴールデンクロス形成中
73,6920.T,6920.T,54.5,41,36,84,⏸️ 様子見,30640.0,0.0,,,semiconductor,政策重点銘柄（semiconductor） / ゴールデンクロス形成中
74,7741.T,7741.T,54.2,64,36,60,⏸️ 様子見,27545.0,0.0,,,medical,ゴールデンクロス形成中
75,5842.T,5842.T,53.8,51,36,72,⏸️ 様子見,3325.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
76,5707.T,5707.T,53.5,50,36,72,⏸️ 様子見,1547.0,0.0,,,rare_earth,政策重点銘柄（rare_earth） / ゴールデンクロス形成中
77,3692.T,3692.T,53.5,50,36,72,⏸️ 様子見,8870.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
78,3491.T,3491.T,53.5,50,36,72,⏸️ 様子見,1635.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
79,4259.T,4259.T,53.5,50,36,72,⏸️ 様子見,690.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
80,5139.T,5139.T,52.5,47,36,72,⏸️ 様子見,963.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
81,4375.T,4375.T,52.1,46,36,72,⏸️ 様子見,836.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
82,6562.T,6562.T,51.8,45,36,72,⏸️ 様子見,1047.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
83,6544.T,6544.T,51.4,44,36,72,⏸️ 様子見,1630.5,0.0,,,startup_growth,政策重点銘柄（startup_growth）
84,3697.T,3697.T,51.4,44,36,72,⏸️ 様子見,657.1,0.0,,,startup_growth,政策重点銘柄（startup_growth）
85,9519.T,9519.T,51.4,42,36,74,⏸️ 様子見,721.0,0.0,,,"green_energy, startup_growth","政策重点銘柄（green_energy, startup_growth）"
86,2980.T,2980.T,51.4,44,36,72,⏸️ 様子見,2789.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
87,7388.T,7388.T,51.0,43,36,72,⏸️ 様子見,2281.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / ゴールデンクロス形成中
88,4431.T,4431.T,50.7,42,36,72,⏸️ 様子見,2588.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
89,5592.T,5592.T,50.7,42,36,72,⏸️ 様子見,2720.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
90,5243.T,5243.T,50.7,42,36,72,⏸️ 様子見,2160.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
91,4384.T,4384.T,50.7,42,36,72,⏸️ 様子見,1899.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
92,6200.T,6200.T,50.0,40,36,72,⏸️ 様子見,708.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
93,3133.T,3133.T,49.6,39,36,72,💼 保有継続,374.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / 出来高急増
94,7095.T,7095.T,49.6,39,36,72,💼 保有継続,1461.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
95,3496.T,3496.T,49.6,39,36,72,💼 保有継続,4360.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
96,7352.T,7352.T,49.6,39,36,72,💼 保有継続,605.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
97,4417.T,4417.T,49.3,38,36,72,💼 保有継続,2760.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
98,4371.T,4371.T,49.3,38,36,72,💼 保有継続,1120.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
99,3498.T,3498.T,48.6,36,36,72,💼 保有継続,7350.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
100,7373.T,7373.T,48.2,35,36,72,💼 保有継続,1857.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
101,6532.T,6532.T,48.2,35,36,72,💼 保有継続,4480.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
102,4593.T,4593.T,47.9,34,36,72,💼 保有継続,358.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
103,4051.T,4051.T,47.5,33,36,72,💼 保有継続,5000.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
104,7059.T,7059.T,47.5,33,36,72,💼 保有継続,998.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
105,6501.T,6501.T,47.2,30,36,74,💼 保有継続,4930.0,0.0,,,green_energy,政策重点銘柄（green_energy） / ゴールデンクロス形成中
106,3769.T,3769.T,47.2,26,36,78,💼 保有継続,7444.0,0.0,,,"ai_digital, finance","政策重点銘柄（ai_digital, finance） / RSI売られすぎ圏（反発期待）"
107,5038.T,5038.T,47.2,32,36,72,💼 保有継続,2218.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
108,4443.T,4443.T,46.5,30,36,72,💼 保有継続,1105.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
109,3923.T,3923.T,45.8,28,36,72,💼 保有継続,766.1,0.0,,,startup_growth,政策重点銘柄（startup_growth）
110,9433.T,9433.T,45.8,22,36,78,💼 保有継続,2616.0,0.0,,,ai_digital,政策重点銘柄（ai_digital）
111,4480.T,4480.T,45.8,28,36,72,💼 保有継続,2045.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
112,5032.T,5032.T,45.5,27,36,72,💼 保有継続,4020.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
113,4419.T,4419.T,45.5,27,36,72,💼 保有継続,843.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
114,4307.T,4307.T,45.4,21,36,78,💼 保有継続,3833.0,0.0,,,ai_digital,政策重点銘柄（ai_digital） / RSI売られすぎ圏（反発期待）
115,6526.T,6526.T,45.1,14,36,84,💼 保有継続,1946.5,0.0,,,semiconductor,政策重点銘柄（semiconductor） / RSI売られすぎ圏（反発期待）
116,4475.T,4475.T,45.1,26,36,72,💼 保有継続,982.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
117,9168.T,9168.T,45.1,26,36,72,💼 保有継続,516.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
118,4449.T,4449.T,44.4,24,36,72,💼 保有継続,982.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
119,5246.T,5246.T,44.4,24,36,72,💼 保有継続,607.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
120,4071.T,4071.T,44.0,23,36,72,💼 保有継続,2038.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
121,3668.T,3668.T,44.0,27,36,68,💼 保有継続,425.0,0.0,,,finance,ゴールデンクロス形成中
122,6869.T,6869.T,44.0,35,36,60,💼 保有継続,1338.5,0.0,,,medical,特段の注目シグナルなし
123,4543.T,4543.T,44.0,35,36,60,💼 保有継続,1962.0,0.0,,,medical,特段の注目シグナルなし
124,3915.T,3915.T,43.3,21,36,72,💼 保有継続,1892.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
125,4058.T,4058.T,43.3,21,36,72,💼 保有継続,1799.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
126,3993.T,3993.T,43.3,21,36,72,💼 保有継続,2758.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
127,6027.T,6027.T,43.3,21,36,72,💼 保有継続,2307.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
128,3984.T,3984.T,43.3,21,36,72,💼 保有継続,1591.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
129,9432.T,9432.T,43.0,14,36,78,💼 保有継続,151.0,0.0,,,ai_digital,政策重点銘柄（ai_digital） / RSI売られすぎ圏（反発期待）
130,4377.T,4377.T,42.6,19,36,72,💼 保有継続,1937.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
131,9552.T,9552.T,42.6,19,36,72,💼 保有継続,783.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
132,4165.T,4165.T,42.6,19,36,72,💼 保有継続,503.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
133,4413.T,4413.T,42.6,19,36,72,💼 保有継続,1712.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
134,9166.T,9166.T,42.6,19,36,72,💼 保有継続,611.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
135,7172.T,7172.T,42.6,19,36,72,💼 保有継続,1963.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
136,3994.T,3994.T,42.3,18,36,72,💼 保有継続,3052.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
137,9211.T,9211.T,42.3,18,36,72,💼 保有継続,1488.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
138,5027.T,5027.T,42.0,17,36,72,💼 保有継続,473.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
139,2998.T,2998.T,42.0,17,36,72,💼 保有継続,761.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
140,4477.T,4477.T,41.6,16,36,72,💼 保有継続,302.0,0.0,,,startup_growth,政策重点銘柄（startup_growth）
141,3182.T,3182.T,40.9,14,36,72,💼 保有継続,1385.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
142,4393.T,4393.T,40.9,14,36,72,💼 保有継続,5450.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
143,9556.T,9556.T,40.9,14,36,72,💼 保有継続,3085.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
144,4194.T,4194.T,40.2,12,36,72,💼 保有継続,6878.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
145,9467.T,9467.T,40.2,12,36,72,💼 保有継続,1250.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
146,4180.T,4180.T,40.2,12,36,72,💼 保有継続,700.0,0.0,,,startup_growth,政策重点銘柄（startup_growth） / RSI売られすぎ圏（反発期待）
